Value,Qty,Mouser Part Number
0.1uF,23,MLASH168SB7104KTNA01
1uF,6,MLASU168SB5105KTNA01
10uF,9,GRM21BR61H106KE43K
4.7uF,3,08055D475KAT4A
10nF,1,MSASH168SB5103KTNA01
3.3nF,1,06035C332K4T2A
26p,2,0603N270F500CT 
100nF,1,MLASH168SB7104KTNA01
LED,2,604-APTD2012LCGCK
D5V0P4UR6SO-7,3,621-D5V0P4UR6SO-7
D_Schottky,1,1N5819HW-7-F
SP0503BAHT,1,576-SP0503BAHTG 
MBR230S1F,1,MP01EA06 
Blue LED,4,XL-1608UBC-06A
WS2812B-2020,8,WS2812-2020
D_TVS,1,771-PESD15VL1BA-T/R
SD12_SOD323,1,771-PESD15VL1BA-T/R
TVS,1,MP01EA06 
FerriteBead,2,704-MFBW1V2012-121-R
TCAN337DCNR,2,595-TCAN337DCNR
LM76202QPWPRQ1,1,595-LM76202QPWPRQ1
52465-2470,2,538-52465-2470
USB_C_Receptacle_USB2.0_16P,1,640-USB4105-GF-A
Micro_SD_Card_Det,1,DM3AT-SF-PEJM5
100uH,1,MSS1246-104MLC 
10k,7,CRCW060310K0FKEI 
120,3,CRCW0603120RFKEC 
2.2k,2,CRCW06032K10FKEA 
5.1k,2,CRCW06035K10FKEC 
22.1k,1,CRCW060322K1FKEBC 
47.5k,1,CRCW060347K5FKEAHP 
1k,1,CRCW06031K00FKEI 
49.9,1,RT0603BRE0750RL
332,1,CRCW0603332RFKEAHP
16k,1,CRCW060316K0FKEA
4.3k,2,CRCW06034K30FKTA 
768,1,CRCW0603768RFKEA
45.3k,1,CRCW060345K3FKEAHP 
590,1,CRCW0603590RFKEA
2.1k,1,CRCW06032K10FKEA 
402k,1,CRCW0603402KFKEAC 
10K,1,CRCW060310K0FKEI
8K,1,CRCW060310K0FKEI
19k,1,CRCW060320K0FKEA 
Reset,1,653-B3SL-1002P
SW_SPDT,1,CJS-1200TA
SWD,1,105309-1104
CDSOT23-T24CAN,2,CDSOT23-T24CAN
CP2102N-Axx-xQFN24,1,CP2102N-A02-GQFN24
LT1963AEST-3.3#TRPBF,1,LT1963AEST-3.3#TRPBF 
TPS2115ADRBR,1,TPS2115ADRBR
TPS5405DR,1,TPS5405DR
STM32G473RETx,1,STM32G473RET6 
74AHC1G32,1,SN74AHC1G32TDBVRQ1 
8M,1,ABM3-8.000MHZ-D2Y-T
100uH,L1,L_Coilcraft_MSS1246-XXX
SW_SPDT,SW1,SW_CJS-1200TA
TPS2115ADRBR,U5,SON65P300X300X100-9N
FerriteBead,FB2,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder
FerriteBead,FB1,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder
TCAN337DCNR,IC1,TCAN337DCNR
52465-2470,J1,524652470
Micro_SD_Card_Det,J4,microSD_HC_Hirose_DM3AT-SF-PEJM5
52465-2470,J2,524652470
TCAN337DCNR,IC2,TCAN337DCNR
